id	vial	female	male	day	eggs	failure		
526	244	val	val	4	26	0		
527	246	val	val	4	22	0		
528	247	val	val	4	30	0		
529	250	val	val	4	15	0		
530	251	iv	lhm	4	12	0		
531	252	iv	lhm	4	6	0		
532	254	iv	lhm	4	18	0		
533	255	iv	lhm	4	10	0		
534	256	iv	lhm	4	25	0		
535	257	iv	lhm	4	14	0		
536	259	iv	lhm	4	8	0		
537	268	iv	lhm	4	19	0		
538	269	iv	lhm	4	0	0		
539	278	dhm	lhm	4	9	0		
540	282	dhm	lhm	4	26	0		
541	287	dhm	lhm	4	dead_F	1		
542	291	dhm	lhm	4	29	0		
543	292	dhm	lhm	4	27	0		
544	302	dhm	val	4	1	0		
545	303	dhm	val	4	20	0		
546	305	dhm	val	4	19	0		
547	306	dhm	val	4	1	0		
548	307	dhm	val	4	33	0		
549	309	dhm	val	4	31	0		
550	316	dhm	val	4	23	0		
551	317	dhm	val	4	25	0		
552	320	dhm	val	4	19	0		
553	325	dhm	val	4	0	1		
554	326	iv	val	4	21	0		
555	327	iv	val	4	19	0		
556	328	iv	val	4	16	0		
557	329	iv	val	4	18	0		
558	330	iv	val	4	10	0		
559	335	iv	val	4	21	0		
560	339	iv	val	4	19	0		
561	340	iv	val	4	12	0		
562	341	iv	val	4	19	0		
563	342	iv	val	4	dead_F	1		
564	343	iv	val	4	no_female	1		
565	351	lhm	val	4	19	0		
566	353	lhm	val	4	17	0		
567	354	lhm	val	4	11	0		
568	357	lhm	val	4	18	0		
569	358	lhm	val	4	22	0		
570	361	lhm	val	4	20	0		
571	367	lhm	val	4	18	0		
572	368	lhm	val	4	0	0		
573	372	lhm	val	4	8	0		
574	373	lhm	val	4	19	0		
575	376	val	lhm	4	31	0		
576	377	val	lhm	4	32	0		
577	379	val	lhm	4	4	0		
578	382	val	lhm	4	29	0		
579	383	val	lhm	4	22	0		
580	385	val	lhm	4	26	0		
581	391	val	lhm	4	16	0		
582	392	val	lhm	4	16	0		
583	393	val	lhm	4	17	0		
584	394	val	lhm	4	18	0		
