vial	day	female	male	mated	eggs	total_emerged	prop_eggs_emerged	failure									
207	2	lhm	lhm	1	11	5	0.454545455	0									
209	2	lhm	lhm	1	13	5	0.384615385	0									
212	2	lhm	lhm	1	5	2	0.4	0									
215	2	lhm	lhm	1	13	6	0.461538462	0									
216	2	lhm	lhm	1	11	10	0.909090909	0									
217	2	lhm	lhm	1	2	1	0.5	0									
220	2	lhm	lhm	1		0	#DIV/0!	1									
227	2	val	val	1	15	11	0.733333333	0									
229	2	val	val	1	16	15	0.9375	0									
233	2	val	val	1	13	9	0.692307692	0									
234	2	val	val	1	1	1	1	0									
236	2	val	val	1	18	15	0.833333333	0									
242	2	val	val	1	19	17	0.894736842	0									
244	2	val	val	1	22	22	1	0									
246	2	val	val	1	15	14	0.933333333	0									
247	2	val	val	1	16	19	1.1875	0									
248	2	val	val	1		0	#DIV/0!	1									
250	2	val	val	1	17	17	1	0									
251	2	iv	lhm	1	15	4	0.266666667	0									
252	2	iv	lhm	1	7	5	0.714285714	0									
254	2	iv	lhm	1	9	6	0.666666667	0									
255	2	iv	lhm	1	6	6	1	0									
256	2	iv	lhm	1	14	9	0.642857143	0									
257	2	iv	lhm	1	8	7	0.875	0									
259	2	iv	lhm	1	8	5	0.625	0									
268	2	iv	lhm	1	10	8	0.8	0									
269	2	iv	lhm	1	0	0	#DIV/0!	1									
278	2	dhm	lhm	1	18	15	0.833333333	0									
282	2	dhm	lhm	1	12	11	0.916666667	0									
287	2	dhm	lhm	1	0	0	#DIV/0!	1									
291	2	dhm	lhm	1	15	16	1.066666667	0									
292	2	dhm	lhm	1	21	14	0.666666667	0									
302	2	dhm	val	1	34	34	1	0									
303	2	dhm	val	1	20	9	0.45	0									
305	2	dhm	val	1	27	26	0.962962963	0									
306	2	dhm	val	1	0	1	#DIV/0!	1									
307	2	dhm	val	1	29	3	0.103448276	0									
309	2	dhm	val	1	12	13	1.083333333	0									
313	2	dhm	val	1		0	#DIV/0!	1									
316	2	dhm	val	1	12	14	1.166666667	0									
317	2	dhm	val	1	19	14	0.736842105	0									
320	2	dhm	val	1	13	12	0.923076923	0									
325	2	dhm	val	1	0	0	#DIV/0!	1									
326	2	iv	val	1	20	7	0.35	0									
327	2	iv	val	1	9	6	0.666666667	0									
328	2	iv	val	1	10	11	1.1	0									
329	2	iv	val	1	7	6	0.857142857	0									
330	2	iv	val	1	7	6	0.857142857	0									
335	2	iv	val	1	10	8	0.8	0									
339	2	iv	val	1	13	10	0.769230769	0									
340	2	iv	val	1	10	7	0.7	0									
341	2	iv	val	1	0	0	#DIV/0!	1									
342	2	iv	val	1	dead F	0	#VALUE!	1									
343	2	iv	val	1	no female	0	#VALUE!	1									
351	2	lhm	val	1	15	16	1.066666667	0									
